ablation,seed,accuracy,macro_f1,micro_f1,cohen_kappa,brier_score,ece,nll,macro_roc_auc_ovr,macro_pr_auc_ovr,macro_f1_present_only,kappa,nll_loss,objective_loss,loss
GAT-baseline,42,0.35726473290458066,0.2764525451881959,0.35726473290458066,0.2581986065955,0.7833654284477234,0.06356836422644181,2.198988914489746,0.8234485848730146,0.31796216296423513,0.2764525451881959,0.2581986065955,2.198989152908325,2.766101598739624,2.766101598739624
GAT+ECFP,42,0.40189001181257383,0.28631089157362677,0.40189001181257383,0.3101832196211344,0.7383756041526794,0.034091120271650496,2.1358249187469482,0.8461066156624643,0.37820245830900306,0.28631089157362677,0.3101832196211344,2.1358249187469482,2.451329231262207,2.451329231262207
GAT+Physchem,42,0.36763354770967316,0.2601685886294492,0.36763354770967316,0.27827853930269364,0.7750958800315857,0.050704509496086465,2.142991781234741,0.849520024805615,0.31862941578802845,0.2601685886294492,0.27827853930269364,2.142991781234741,2.6174678802490234,2.6174678802490234
GAT+MACCS,42,0.4440215251345321,0.26049602181016074,0.4440215251345321,0.3475791456967968,0.7201188206672668,0.07027601806146451,1.9519599676132202,0.8632138699109798,0.3505441935441208,0.26049602181016074,0.3475791456967968,1.9519598484039307,2.4508421421051025,2.4508421421051025
GAT+ECFP+Physchem,42,0.4348339677122982,0.307551208468616,0.4348339677122982,0.33615332914287144,0.7201287150382996,0.06899547067714468,2.036130428314209,0.8464515531270783,0.3657059598727197,0.307551208468616,0.33615332914287144,2.036130666732788,2.4375340938568115,2.4375340938568115
