ablation,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std,cohen_kappa_mean,cohen_kappa_std,macro_roc_auc_ovr_mean,macro_roc_auc_ovr_std,macro_pr_auc_ovr_mean,macro_pr_auc_ovr_std,ece_mean,ece_std,brier_score_mean,brier_score_std,objective_loss_mean,objective_loss_std,nll_loss_mean,nll_loss_std,loss_mean,loss_std
GAT+ECFP,0.40189001181257383,,0.28631089157362677,,0.40189001181257383,,0.3101832196211344,,0.8461066156624643,,0.37820245830900306,,0.034091120271650496,,0.7383756041526794,,2.451329231262207,,2.1358249187469482,,2.451329231262207,
GAT+ECFP+Physchem,0.4348339677122982,,0.307551208468616,,0.4348339677122982,,0.33615332914287144,,0.8464515531270783,,0.3657059598727197,,0.06899547067714468,,0.7201287150382996,,2.4375340938568115,,2.036130666732788,,2.4375340938568115,
GAT+MACCS,0.4440215251345321,,0.26049602181016074,,0.4440215251345321,,0.3475791456967968,,0.8632138699109798,,0.3505441935441208,,0.07027601806146451,,0.7201188206672668,,2.4508421421051025,,1.9519598484039307,,2.4508421421051025,
GAT+Physchem,0.36763354770967316,,0.2601685886294492,,0.36763354770967316,,0.27827853930269364,,0.849520024805615,,0.31862941578802845,,0.050704509496086465,,0.7750958800315857,,2.6174678802490234,,2.142991781234741,,2.6174678802490234,
GAT-baseline,0.35726473290458066,,0.2764525451881959,,0.35726473290458066,,0.2581986065955,,0.8234485848730146,,0.31796216296423513,,0.06356836422644181,,0.7833654284477234,,2.766101598739624,,2.198989152908325,,2.766101598739624,
