pair_id,which,target_class,pred_prob_target,delta_ins_base,delta_del_base,delta_ins_weight_randomized,delta_del_weight_randomized,delta_ins_label_permuted,delta_del_label_permuted,random_baseline_unique_ratio,rank_jaccard_weight_randomized,rank_jaccard_label_permuted,orientation_ok_base
test_diag_0,A,46,0.9690872430801392,0.13005018006421293,-0.045894248126184256,1.1692683705511256e-05,8.14418582355432e-06,-0.019257703905596474,0.0014439275159555398,1.0,0.42857142857142855,0.42857142857142855,True
test_diag_0,B,46,0.9690872430801392,-0.028592212811896667,0.19559645990007812,-5.934402150542875e-06,-3.273280239418294e-06,-0.0022010504807296605,0.01681873949342655,1.0,0.17647058823529413,0.5384615384615384,True
test_diag_1,A,46,0.6001198291778564,0.026055282331071808,0.029978806017474692,9.92203131318023e-06,8.091292428699312e-06,0.007333868267861268,-0.006443859704516164,1.0,0.5384615384615384,0.6666666666666666,True
test_diag_1,B,46,0.6001198291778564,0.022217316463075787,-0.1272278896693526,1.8745885583860283e-05,1.928071523534837e-05,0.005588073437583857,0.01809711381793022,1.0,0.17647058823529413,0.42857142857142855,True
test_diag_2,A,46,0.4132719933986664,-0.08644422675398261,-0.04943951888179235,7.920060306787144e-06,3.3945945853534887e-06,-0.007405388287522574,-0.010585003854198888,1.0,0.42857142857142855,0.5384615384615384,True
test_diag_2,B,46,0.4132719933986664,0.18751137896694922,0.036240025067871245,2.118799920109403e-05,9.287042881955115e-06,0.015852647308598866,0.009280777925794764,1.0,0.42857142857142855,0.3333333333333333,True
test_diag_3,A,70,0.9698731303215027,-0.06962795688514237,0.013137899159725408,-1.5409127809106263e-05,-1.175810272494894e-05,0.0017192008895411462,0.0013365315913688395,1.0,1.0,0.8181818181818182,True
test_diag_3,B,70,0.9698731303215027,-0.10476632133747144,0.12926135398059457,-8.306178885199647e-06,-1.5709762616705064e-05,8.265583261769793e-05,0.0005132867561769665,1.0,0.17647058823529413,0.8181818181818182,True
test_diag_4,A,72,0.6711891293525696,-0.03820330551975676,-0.016812373120938584,8.079403590771292e-06,1.5301152222580577e-05,-0.005543319039767763,-0.0013223795400512106,1.0,0.5384615384615384,0.42857142857142855,True
test_diag_4,B,72,0.6711891293525696,0.05519987359642986,0.05011687785387042,6.027556955815264e-06,9.951246902345154e-06,0.0055395433306694025,0.007735760323703281,1.0,0.6666666666666666,0.5384615384615384,True
test_diag_5,A,46,0.4324677884578705,-0.005586802959442139,-0.030319809254545443,1.954577433375612e-06,2.0786224362943223e-06,-0.019551541197758468,-0.012823713828737926,1.0,0.3333333333333333,0.42857142857142855,True
test_diag_5,B,46,0.4324677884578705,-0.033748713477204234,0.056041396667973836,1.189135687632882e-05,1.7831407280431005e-05,0.014317059537602789,0.004384255222976197,1.0,0.3333333333333333,0.42857142857142855,True
test_diag_6,A,3,0.48352357745170593,-0.07922279392197894,0.07108087716179022,-2.0209749174469188e-05,-1.4317824560053719e-05,0.007214028848444715,0.008563634501222304,1.0,0.5384615384615384,0.5384615384615384,True
test_diag_6,B,3,0.48352357745170593,0.16546406187117102,0.11595955993980167,1.5698111383230517e-06,-2.6277964934717096e-06,0.01654898629058152,0.008458160189911725,1.0,0.3333333333333333,0.3333333333333333,True
test_diag_7,A,59,0.5025915503501892,-0.07484674055291259,-0.061795242357513186,-6.6256879464425544e-06,-8.4210754088751e-06,-0.005162459012606868,0.004976142635164049,1.0,0.42857142857142855,1.0,True
test_diag_7,B,59,0.5025915503501892,-0.010008157796359482,0.012293733575747215,-3.0846268470816063e-06,-7.595361343452553e-06,0.0030239110014268315,0.004898018529638646,1.0,0.8181818181818182,0.8181818181818182,True
test_diag_8,A,48,0.9258392453193665,0.2201618699275929,0.28048037345642635,-1.7844464467921956e-06,2.5542695885113348e-06,-0.013073089394880388,0.0037877507831739488,1.0,0.5384615384615384,0.42857142857142855,True
test_diag_8,B,48,0.9258392453193665,0.07802880213216495,0.08564058774047428,1.5247482116573577e-05,2.2918199775396123e-05,-0.018192056925208477,-0.008759939863725946,1.0,0.42857142857142855,0.5384615384615384,True
test_diag_9,A,72,0.7866153717041016,-0.0569739606427519,0.026516036728495035,1.3110237686256299e-05,1.506133152073992e-05,-0.006352797542747687,-0.0007905200711990495,1.0,0.25,0.5384615384615384,True
test_diag_9,B,72,0.7866153717041016,0.034865760256846734,-0.08604455634951591,1.9355223824579076e-05,1.9923836613694804e-05,0.004939578933020425,0.004159585162997255,1.0,0.25,0.3333333333333333,True
test_diag_10,A,46,0.5668047070503235,0.02883717421351406,0.04907318136798658,2.937672311457973e-06,3.79948036336418e-06,0.0036030618034727513,-0.005235797191053881,1.0,0.0,0.42857142857142855,True
test_diag_10,B,46,0.5668047070503235,-0.009626122977998502,-0.01229750972655086,7.335738175445056e-06,1.2681523544921455e-05,0.007472992282774718,0.006367984968754986,1.0,0.17647058823529413,0.3333333333333333,True
test_diag_11,A,48,0.9461850523948669,-0.10225612148642527,-0.10312219237287834,-9.233632590621363e-06,-7.884836910913504e-06,0.003923956801493933,0.0046308297663926745,1.0,0.17647058823529413,0.8181818181818182,True
