pair_id,which,target_class,pred_prob_target,delta_ins_base,delta_del_base,delta_ins_weight_randomized,delta_del_weight_randomized,delta_ins_label_permuted,delta_del_label_permuted,random_baseline_unique_ratio,rank_jaccard_weight_randomized,rank_jaccard_label_permuted,orientation_ok_base
test_diag_0,A,48,0.019729087129235268,-4.798639565706253e-06,2.8020702302483658e-06,-2.480931580067444e-06,-2.5052018463606746e-06,5.818545818328871e-05,7.904194295406397e-05,1.0,0.8181818181818182,1.0,True
test_diag_0,B,48,0.019729087129235268,5.245212620745218e-05,7.380124103898919e-05,-4.186182438085592e-05,-2.2521291005736174e-05,0.0001639148104004562,0.000256756863867242,1.0,0.8181818181818182,1.0,True
test_diag_1,A,48,0.019787805154919624,-3.081722365271683e-05,-3.5892698853727534e-05,-1.1457693612862765e-05,-8.794013410806656e-06,7.895064810591393e-05,0.00011246267616027775,1.0,1.0,1.0,True
test_diag_1,B,48,0.019787805154919624,8.499249815940857e-06,-8.394879599412514e-06,6.078245739142216e-06,1.1739414185285221e-05,2.0433527727924117e-05,2.4770386517047882e-05,1.0,1.0,0.8181818181818182,True
